2026-01-20 22:24:38,105 | INFO    | method |   Result: clusters=11, lifetime=21.20
2026-01-20 22:24:38,106 | INFO    | method | Run 5/200: alpha=0.1, seed=4
2026-01-20 22:24:38,108 | INFO    | method | Running simulation: alpha=0.1, n=100, seed=4, network=small_world
2026-01-20 22:24:38,109 | DEBUG   | method | Initializing 100 agents with alpha=0.1, seed=4
2026-01-20 22:24:38,121 | DEBUG   | method | Agent opinions: mean=0.041, std=0.611
2026-01-20 22:24:38,122 | DEBUG   | method | Creating small_world network with 100 nodes, seed=4
2026-01-20 22:24:38,123 | DEBUG   | method | Network created: 300 edges, avg_degree=6.00
2026-01-20 22:24:38,129 | DEBUG   | method |   t=0: clusters=9, variance=0.3733, max_change=0.088434
2026-01-20 22:24:38,440 | DEBUG   | method |   Converged at t=73
2026-01-20 22:24:38,440 | INFO    | method |   Result: clusters=12, lifetime=9.25
2026-01-20 22:24:38,440 | INFO    | method | Run 6/200: alpha=0.1, seed=5
2026-01-20 22:24:38,440 | INFO    | method | Running simulation: alpha=0.1, n=100, seed=5, network=small_world
2026-01-20 22:24:38,440 | DEBUG   | method | Initializing 100 agents with alpha=0.1, seed=5
2026-01-20 22:24:38,444 | DEBUG   | method | Agent opinions: mean=0.025, std=0.685
2026-01-20 22:24:38,445 | DEBUG   | method | Creating small_world network with 100 nodes, seed=5
2026-01-20 22:24:38,446 | DEBUG   | method | Network created: 300 edges, avg_degree=6.00
2026-01-20 22:24:38,448 | DEBUG   | method |   t=0: clusters=9, variance=0.4691, max_change=0.087800
2026-01-20 22:24:38,675 | DEBUG   | method |   Converged at t=80
2026-01-20 22:24:38,675 | INFO    | method |   Result: clusters=8, lifetime=27.00
2026-01-20 22:24:38,675 | INFO    | method | Run 7/200: alpha=0.1, seed=6
2026-01-20 22:24:38,675 | INFO    | method | Running simulation: alpha=0.1, n=100, seed=6, network=small_world
2026-01-20 22:24:38,675 | DEBUG   | method | Initializing 100 agents with alpha=0.1, seed=6
2026-01-20 22:24:38,683 | DEBUG   | method | Agent opinions: mean=0.023, std=0.708
2026-01-20 22:24:38,683 | DEBUG   | method | Creating small_world network with 100 nodes, seed=6
2026-01-20 22:24:38,684 | DEBUG   | method | Network created: 300 edges, avg_degree=6.00
2026-01-20 22:24:38,687 | DEBUG   | method |   t=0: clusters=9, variance=0.5015, max_change=0.086737
2026-01-20 22:24:38,828 | DEBUG   | method |   Converged at t=63
2026-01-20 22:24:38,829 | INFO    | method |   Result: clusters=10, lifetime=16.00
2026-01-20 22:24:38,829 | INFO    | method | Run 8/200: alpha=0.1, seed=7
2026-01-20 22:24:38,829 | INFO    | method | Running simulation: alpha=0.1, n=100, seed=7, network=small_world
2026-01-20 22:24:38,829 | DEBUG   | method | Initializing 100 agents with alpha=0.1, seed=7
2026-01-20 22:24:38,835 | DEBUG   | method | Agent opinions: mean=0.110, std=0.706
2026-01-20 22:24:38,835 | DEBUG   | method | Creating small_world network with 100 nodes, seed=7
2026-01-20 22:24:38,836 | DEBUG   | method | Network created: 300 edges, avg_degree=6.00
2026-01-20 22:24:38,840 | DEBUG   | method |   t=0: clusters=10, variance=0.4980, max_change=0.082900
2026-01-20 22:24:39,039 | DEBUG   | method |   Converged at t=80
2026-01-20 22:24:39,039 | INFO    | method |   Result: clusters=8, lifetime=27.00
2026-01-20 22:24:39,040 | INFO    | method | Run 9/200: alpha=0.1, seed=8
2026-01-20 22:24:39,040 | INFO    | method | Running simulation: alpha=0.1, n=100, seed=8, network=small_world
2026-01-20 22:24:39,040 | DEBUG   | method | Initializing 100 agents with alpha=0.1, seed=8
2026-01-20 22:24:39,045 | DEBUG   | method | Agent opinions: mean=0.025, std=0.680
2026-01-20 22:24:39,045 | DEBUG   | method | Creating small_world network with 100 nodes, seed=8
2026-01-20 22:24:39,046 | DEBUG   | method | Network created: 300 edges, avg_degree=6.00
2026-01-20 22:24:39,048 | DEBUG   | method |   t=0: clusters=7, variance=0.4622, max_change=0.091361
2026-01-20 22:24:39,286 | DEBUG   | method |   Converged at t=99
2026-01-20 22:24:39,287 | INFO    | method |   Result: clusters=6, lifetime=20.00
2026-01-20 22:24:39,287 | INFO    | method | Run 10/200: alpha=0.1, seed=9
2026-01-20 22:24:39,287 | INFO    | method | Running simulation: alpha=0.1, n=100, seed=9, network=small_world
2026-01-20 22:24:39,287 | DEBUG   | method | Initializing 100 agents with alpha=0.1, seed=9
2026-01-20 22:24:39,290 | DEBUG   | method | Agent opinions: mean=0.011, std=0.656
2026-01-20 22:24:39,291 | DEBUG   | method | Creating small_world network with 100 nodes, seed=9
2026-01-20 22:24:39,291 | DEBUG   | method | Network created: 300 edges, avg_degree=6.00
2026-01-20 22:24:39,294 | DEBUG   | method |   t=0: clusters=8, variance=0.4307, max_change=0.085615
2026-01-20 22:24:39,565 | DEBUG   | method |   t=100: clusters=9, variance=0.4205, max_change=0.000142
2026-01-20 22:24:39,587 | DEBUG   | method |   Converged at t=110
2026-01-20 22:24:39,588 | INFO    | method |   Result: clusters=9, lifetime=12.33
2026-01-20 22:24:39,588 | INFO    | method | Run 11/200: alpha=0.17, seed=0
2026-01-20 22:24:39,588 | INFO    | method | Running simulation: alpha=0.17, n=100, seed=0, network=small_world
2026-01-20 22:24:39,588 | DEBUG   | method | Initializing 100 agents with alpha=0.17, seed=0
2026-01-20 22:24:39,593 | DEBUG   | method | Agent opinions: mean=0.168, std=0.648
2026-01-20 22:24:39,593 | DEBUG   | method | Creating small_world network with 100 nodes, seed=0
2026-01-20 22:24:39,594 | DEBUG   | method | Network created: 300 edges, avg_degree=6.00
2026-01-20 22:24:39,596 | DEBUG   | method |   t=0: clusters=10, variance=0.4205, max_change=0.081867
2026-01-20 22:24:39,744 | DEBUG   | method |   Converged at t=69
2026-01-20 22:24:39,744 | INFO    | method |   Result: clusters=11, lifetime=17.50
2026-01-20 22:24:39,744 | INFO    | method | Run 12/200: alpha=0.17, seed=1
2026-01-20 22:24:39,744 | INFO    | method | Running simulation: alpha=0.17, n=100, seed=1, network=small_world
2026-01-20 22:24:39,745 | DEBUG   | method | Initializing 100 agents with alpha=0.17, seed=1
2026-01-20 22:24:39,749 | DEBUG   | method | Agent opinions: mean=0.069, std=0.712
2026-01-20 22:24:39,750 | DEBUG   | method | Creating small_world network with 100 nodes, seed=1
2026-01-20 22:24:39,751 | DEBUG   | method | Network created: 300 edges, avg_degree=6.00
2026-01-20 22:24:39,754 | DEBUG   | method |   t=0: clusters=7, variance=0.5075, max_change=0.099033
2026-01-20 22:24:39,934 | DEBUG   | method |   Converged at t=83
2026-01-20 22:24:39,934 | INFO    | method |   Result: clusters=8, lifetime=16.80
2026-01-20 22:24:39,934 | INFO    | method | Run 13/200: alpha=0.17, seed=2
2026-01-20 22:24:39,934 | INFO    | method | Running simulation: alpha=0.17, n=100, seed=2, network=small_world
2026-01-20 22:24:39,934 | DEBUG   | method | Initializing 100 agents with alpha=0.17, seed=2
2026-01-20 22:24:39,938 | DEBUG   | method | Agent opinions: mean=0.006, std=0.657
2026-01-20 22:24:39,938 | DEBUG   | method | Creating small_world network with 100 nodes, seed=2
2026-01-20 22:24:39,939 | DEBUG   | method | Network created: 300 edges, avg_degree=6.00
2026-01-20 22:24:39,941 | DEBUG   | method |   t=0: clusters=10, variance=0.4315, max_change=0.096021
2026-01-20 22:24:40,177 | DEBUG   | method |   t=100: clusters=11, variance=0.4211, max_change=0.004479
2026-01-20 22:24:40,365 | DEBUG   | method |   Converged at t=178
2026-01-20 22:24:40,365 | INFO    | method |   Result: clusters=11, lifetime=14.92
2026-01-20 22:24:40,365 | INFO    | method | Run 14/200: alpha=0.17, seed=3
2026-01-20 22:24:40,365 | INFO    | method | Running simulation: alpha=0.17, n=100, seed=3, network=small_world
2026-01-20 22:24:40,365 | DEBUG   | method | Initializing 100 agents with alpha=0.17, seed=3
2026-01-20 22:24:40,369 | DEBUG   | method | Agent opinions: mean=0.038, std=0.648
2026-01-20 22:24:40,369 | DEBUG   | method | Creating small_world network with 100 nodes, seed=3
2026-01-20 22:24:40,369 | DEBUG   | method | Network created: 300 edges, avg_degree=6.00
2026-01-20 22:24:40,371 | DEBUG   | method |   t=0: clusters=9, variance=0.4198, max_change=0.079720
2026-01-20 22:24:40,549 | DEBUG   | method |   Converged at t=70
2026-01-20 22:24:40,549 | INFO    | method |   Result: clusters=12, lifetime=14.20
2026-01-20 22:24:40,549 | INFO    | method | Run 15/200: alpha=0.17, seed=4
2026-01-20 22:24:40,549 | INFO    | method | Running simulation: alpha=0.17, n=100, seed=4, network=small_world
2026-01-20 22:24:40,549 | DEBUG   | method | Initializing 100 agents with alpha=0.17, seed=4
2026-01-20 22:24:40,553 | DEBUG   | method | Agent opinions: mean=0.041, std=0.611
2026-01-20 22:24:40,553 | DEBUG   | method | Creating small_world network with 100 nodes, seed=4
2026-01-20 22:24:40,554 | DEBUG   | method | Network created: 300 edges, avg_degree=6.00
2026-01-20 22:24:40,556 | DEBUG   | method |   t=0: clusters=9, variance=0.3733, max_change=0.082170
2026-01-20 22:24:40,711 | DEBUG   | method |   Converged at t=65
2026-01-20 22:24:40,712 | INFO    | method |   Result: clusters=13, lifetime=11.00
2026-01-20 22:24:40,712 | INFO    | method | Run 16/200: alpha=0.17, seed=5
2026-01-20 22:24:40,712 | INFO    | method | Running simulation: alpha=0.17, n=100, seed=5, network=small_world
2026-01-20 22:24:40,712 | DEBUG   | method | Initializing 100 agents with alpha=0.17, seed=5
2026-01-20 22:24:40,718 | DEBUG   | method | Agent opinions: mean=0.025, std=0.685
2026-01-20 22:24:40,719 | DEBUG   | method | Creating small_world network with 100 nodes, seed=5
2026-01-20 22:24:40,720 | DEBUG   | method | Network created: 300 edges, avg_degree=6.00
2026-01-20 22:24:40,724 | DEBUG   | method |   t=0: clusters=9, variance=0.4691, max_change=0.087800
2026-01-20 22:24:40,905 | DEBUG   | method |   Converged at t=81
2026-01-20 22:24:40,906 | INFO    | method |   Result: clusters=8, lifetime=27.33
2026-01-20 22:24:40,906 | INFO    | method | Run 17/200: alpha=0.17, seed=6
2026-01-20 22:24:40,906 | INFO    | method | Running simulation: alpha=0.17, n=100, seed=6, network=small_world
2026-01-20 22:24:40,906 | DEBUG   | method | Initializing 100 agents with alpha=0.17, seed=6
2026-01-20 22:24:40,911 | DEBUG   | method | Agent opinions: mean=0.023, std=0.708
2026-01-20 22:24:40,911 | DEBUG   | method | Creating small_world network with 100 nodes, seed=6
2026-01-20 22:24:40,911 | DEBUG   | method | Network created: 300 edges, avg_degree=6.00
2026-01-20 22:24:40,915 | DEBUG   | method |   t=0: clusters=9, variance=0.5015, max_change=0.083687
2026-01-20 22:24:41,053 | DEBUG   | method |   Converged at t=63
2026-01-20 22:24:41,054 | INFO    | method |   Result: clusters=10, lifetime=16.00
2026-01-20 22:24:41,054 | INFO    | method | Run 18/200: alpha=0.17, seed=7
2026-01-20 22:24:41,054 | INFO    | method | Running simulation: alpha=0.17, n=100, seed=7, network=small_world
2026-01-20 22:24:41,054 | DEBUG   | method | Initializing 100 agents with alpha=0.17, seed=7
2026-01-20 22:24:41,058 | DEBUG   | method | Agent opinions: mean=0.110, std=0.706
2026-01-20 22:24:41,058 | DEBUG   | method | Creating small_world network with 100 nodes, seed=7
2026-01-20 22:24:41,058 | DEBUG   | method | Network created: 300 edges, avg_degree=6.00
2026-01-20 22:24:41,060 | DEBUG   | method |   t=0: clusters=10, variance=0.4980, max_change=0.082900
2026-01-20 22:24:41,237 | DEBUG   | method |   Converged at t=80
2026-01-20 22:24:41,237 | INFO    | method |   Result: clusters=8, lifetime=27.00
2026-01-20 22:24:41,237 | INFO    | method | Run 19/200: alpha=0.17, seed=8
2026-01-20 22:24:41,238 | INFO    | method | Running simulation: alpha=0.17, n=100, seed=8, network=small_world
2026-01-20 22:24:41,238 | DEBUG   | method | Initializing 100 agents with alpha=0.17, seed=8
2026-01-20 22:24:41,241 | DEBUG   | method | Agent opinions: mean=0.025, std=0.680
2026-01-20 22:24:41,242 | DEBUG   | method | Creating small_world network with 100 nodes, seed=8
2026-01-20 22:24:41,242 | DEBUG   | method | Network created: 300 edges, avg_degree=6.00
2026-01-20 22:24:41,246 | DEBUG   | method |   t=0: clusters=7, variance=0.4622, max_change=0.091361
2026-01-20 22:24:41,422 | DEBUG   | method |   Converged at t=67
2026-01-20 22:24:41,422 | INFO    | method |   Result: clusters=7, lifetime=22.67
2026-01-20 22:24:41,422 | INFO    | method | Run 20/200: alpha=0.17, seed=9
2026-01-20 22:24:41,422 | INFO    | method | Running simulation: alpha=0.17, n=100, seed=9, network=small_world
2026-01-20 22:24:41,423 | DEBUG   | method | Initializing 100 agents with alpha=0.17, seed=9
2026-01-20 22:24:41,427 | DEBUG   | method | Agent opinions: mean=0.011, std=0.656
2026-01-20 22:24:41,427 | DEBUG   | method | Creating small_world network with 100 nodes, seed=9
2026-01-20 22:24:41,428 | DEBUG   | method | Network created: 300 edges, avg_degree=6.00
2026-01-20 22:24:41,431 | DEBUG   | method |   t=0: clusters=8, variance=0.4307, max_change=0.075127
2026-01-20 22:24:41,648 | DEBUG   | method |   t=100: clusters=9, variance=0.4212, max_change=0.000142
2026-01-20 22:24:41,668 | DEBUG   | method |   Converged at t=110
2026-01-20 22:24:41,669 | INFO    | method |   Result: clusters=9, lifetime=15.86
2026-01-20 22:24:41,669 | INFO    | method | Run 21/200: alpha=0.24, seed=0
2026-01-20 22:24:41,669 | INFO    | method | Running simulation: alpha=0.24, n=100, seed=0, network=small_world
2026-01-20 22:24:41,669 | DEBUG   | method | Initializing 100 agents with alpha=0.24, seed=0
2026-01-20 22:24:41,673 | DEBUG   | method | Agent opinions: mean=0.168, std=0.648
2026-01-20 22:24:41,673 | DEBUG   | method | Creating small_world network with 100 nodes, seed=0
2026-01-20 22:24:41,674 | DEBUG   | method | Network created: 300 edges, avg_degree=6.00
2026-01-20 22:24:41,676 | DEBUG   | method |   t=0: clusters=10, variance=0.4205, max_change=0.072284
2026-01-20 22:24:41,828 | DEBUG   | method |   Converged at t=63
2026-01-20 22:24:41,828 | INFO    | method |   Result: clusters=10, lifetime=64.00
